seq,rtt_us
0,52386
1,40429
2,67066
3,48672
4,45707
5,61437
6,49113
7,47140
8,65232
9,65403
10,50806
11,60262
12,48481
13,54013
14,68014
15,56621
16,41713
17,66758
18,49837
19,44770
20,48384
21,53329
22,47086
23,44211
24,55526
25,59968
26,61489
27,48765
28,37287
29,48249
30,53364
31,66649
32,57961
33,37964
34,59577
35,57521
36,68532
37,49440
38,48502
39,54422
40,63626
41,54432
42,39495
43,66864
44,64127
45,47280
46,60483
47,49048
48,38558
49,57493
50,45328
51,66947
52,57848
53,38917
54,62247
55,47218
56,45349
57,60332
58,57365
59,50269
60,56855
61,53322
62,60292
63,48421
64,45903
65,45959
66,53034
67,65520
68,63124
69,46469
70,60406
71,58357
72,38377
73,59368
74,50442
75,53514
76,43424
77,46692
78,45342
79,66120
80,48045
81,45145
82,61791
83,51417
84,38200
85,55347
86,56021
87,47695
88,57212
89,45477
90,45902
91,43785
92,45441
93,44125
94,65881
95,57244
96,42072
97,66650
98,48059
99,37012
100,66242
101,63316
102,55229
103,60491
104,50497
105,47584
106,52427
107,44939
108,56224
109,53505
110,65961
111,56493
112,46780
113,65810
114,64261
115,44276
116,60521
117,59410
118,43860
119,65463
120,63269
121,43284
122,61172
123,49013
124,44969
125,45410
126,42741
127,65432
128,48347
129,43855
130,58031
131,50562
132,45566
133,65592
134,63799
135,46001
136,66172
137,59383
138,44245
139,65394
140,62198
141,46540
142,66604
143,50222
144,39073
145,48642
146,45359
147,45816
148,54945
149,60036
150,48773
151,45632
152,59515
153,58336
154,61380
155,53671
156,47746
157,44257
158,59327
159,50519
160,45629
161,66365
162,56482
163,57081
164,59450
165,54890
166,45558
167,43819
168,45174
169,51804
170,56062
171,45797
172,64105
173,45199
174,56484
175,54755
176,57289
177,57436
178,45476
179,45454
180,44233
181,64766
182,64391
183,47195
184,58575
185,53707
186,47805
187,54075
188,48149
189,54943
190,47193
191,44859
192,60311
193,44891
194,61888
195,58354
196,44686
197,74645
198,54931
199,53920
200,48946
201,58247
202,37667
203,74088
204,62266
205,46190
206,47977
207,35300
208,60002
209,52130
210,43990
211,61903
212,50145
213,34276
214,41839
215,42924
216,43512
217,41624
218,41562
219,65684
220,56680
221,62702
222,49363
223,121125
224,102751
225,89741
226,78516
227,58538
228,41424
229,72826
230,52887
231,49830
232,46696
233,43186
234,51512
235,66893
236,50381
237,47881
238,37986
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,62433
249,
250,56136
251,
252,
253,
254,
255,
256,
257,
258,
259,
260,61874
261,
262,
263,
264,61413
265,64083
266,
267,44402
268,
269,
270,
271,
272,
273,46354
274,49077
275,
276,51983
277,64580
278,56295
279,
280,
281,56419
282,
283,
284,
285,54590
286,53323
287,
288,
289,62508
290,
291,
292,57906
293,
294,
295,65253
296,
297,
298,
299,57157
300,
301,
302,
303,46484
304,
305,
306,66762
307,
308,
309,
310,44057
311,60347
312,48544
313,
314,
315,
316,
317,46827
318,54322
319,
320,45354
321,
322,55450
323,57825
324,
325,
326,49218
327,52242
328,
329,54850
330,
331,
332,41136
333,
334,
335,
336,
337,44975
338,
339,
340,36829
341,60052
342,
343,
344,
345,66718
346,53840
347,
348,61644
349,
350,
351,67219
352,
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,50701
363,56293
364,
365,52293
366,65868
367,57626
368,42564
369,64769
370,49282
371,46834
372,53463
373,47619
374,53400
375,
376,46317
377,40900
378,66275
379,65705
380,65195
381,57257
382,49538
383,
384,66029
385,
386,34866
387,
388,
389,
390,
391,
392,
393,68960
394,67481
395,
396,
397,
398,78448
399,
