seq,rtt_us
0,68708
1,50097
2,41006
3,66463
4,58914
5,48257
6,45384
7,49555
8,59912
9,58001
10,45214
11,66454
12,48978
13,45383
14,67269
15,57180
16,37193
17,66764
18,48023
19,37465
20,49241
21,45425
22,59891
23,48755
24,44896
25,67389
26,57760
27,42502
28,61399
29,58757
30,52966
31,58025
32,45343
33,61012
34,55378
35,49543
36,46083
37,51938
38,60295
39,48345
40,51924
41,48152
42,46663
43,46430
44,49082
45,45258
46,60267
47,50312
48,50987
49,42598
50,60318
51,50937
52,61131
53,46423
54,60013
55,51131
56,38969
57,49506
58,45317
59,65342
60,62674
61,49511
62,58686
63,49595
64,44236
65,66681
66,55291
67,35297
68,58807
69,48485
70,49326
71,52960
72,47478
73,60079
74,49547
75,51519
76,50592
77,65373
78,58401
79,44106
80,67625
81,55428
82,43127
83,60045
84,48462
85,38605
86,60369
87,48477
88,44333
89,65985
90,56509
91,46489
92,86872
93,66883
94,46943
95,59957
96,48201
97,45560
98,65327
99,56504
100,46540
101,56361
102,62719
103,49100
104,35670
105,60007
106,56476
107,45219
108,59838
109,50379
110,36562
111,48598
112,44732
113,66879
114,46880
115,45401
116,66166
117,47725
118,44901
119,60031
120,48382
121,44231
122,54372
123,47981
124,46647
125,94088
126,74087
127,55392
128,42613
129,71352
130,56132
131,37314
132,62275
133,56314
134,44334
135,65482
136,47335
137,53507
138,48417
139,58603
140,48178
141,44297
142,65367
143,47218
144,44747
145,65282
146,47986
147,52871
148,60018
149,48545
150,48698
151,51912
152,47469
153,47512
154,56247
155,58999
156,49529
157,45653
158,63286
159,49951
160,45223
161,54800
162,46907
163,56332
164,61396
165,49807
166,46700
167,67478
168,47493
169,45407
170,60154
171,56529
172,48393
173,55351
174,50407
175,48476
176,59466
177,50014
178,37577
179,44047
180,44721
181,51670
182,76389
183,56413
184,44329
185,60103
186,48941
187,44673
188,60317
189,48730
190,52863
191,47659
192,44665
193,44720
194,52003
195,65357
196,66351
197,46711
198,48308
199,44676
200,62276
201,48780
202,44754
203,58658
204,48677
205,44359
206,59963
207,48518
208,44757
209,66010
210,47304
211,44486
212,65322
213,46468
214,51521
215,44442
216,59822
217,50008
218,44488
219,66295
220,46665
221,44357
222,66568
223,49644
224,39850
225,75791
226,55827
227,35835
228,60987
229,49275
230,45328
231,67331
232,64262
233,48543
234,65155
235,57144
236,44673
237,65309
238,58916
239,45170
240,58650
241,49264
242,53381
243,59988
244,49941
245,39129
246,48721
247,45286
248,45337
249,45379
250,45271
251,44338
252,66804
253,53244
254,39263
255,66219
256,56958
257,41371
258,58712
259,51015
260,44316
261,65523
262,59626
263,39642
264,66269
265,57578
266,37588
267,57133
268,45192
269,45242
270,62253
271,45363
272,68715
273,66628
274,52449
275,46140
276,45240
277,46725
278,46732
279,46381
280,45218
281,62249
282,50940
283,42599
284,48588
285,45345
286,45951
287,44225
288,57598
289,58044
290,47508
291,45428
292,51045
293,62332
294,48383
295,44238
296,60297
297,48638
298,45500
299,55531
300,54258
301,68593
302,51754
303,38754
304,59951
305,50983
306,54551
307,52589
308,55622
309,49630
310,45287
311,60084
312,48913
313,45301
314,61844
315,49322
316,46290
317,55609
318,45255
319,45952
320,45277
321,60438
322,45407
323,60262
324,50244
325,62239
326,50288
327,55426
328,65363
329,55604
330,36584
331,67358
332,55528
333,41798
334,59909
335,48352
336,44707
337,65672
338,47088
339,44355
340,58582
341,48736
342,42089
343,65421
344,56334
345,40843
346,59452
347,56410
348,41250
349,65214
350,59086
351,39092
352,47540
353,45238
354,52442
355,66187
356,65963
357,45964
358,45307
359,45255
360,45267
361,53516
362,45292
363,56364
364,60101
365,48475
366,37866
367,66198
368,55657
369,44371
370,65408
371,46485
372,44767
373,66283
374,49520
375,46843
376,45166
377,42227
378,66155
379,55862
380,40388
381,65357
382,51840
383,44752
384,65452
385,49682
386,44366
387,59521
388,58068
389,42837
390,62390
391,50004
392,41076
393,60013
394,44402
395,59838
396,50255
397,44765
398,68052
399,52441
