seq,rtt_us
0,66437
1,72775
2,68970
3,53898
4,57448
5,78661
6,62521
7,53884
8,66096
9,60139
10,57671
11,53826
12,61804
13,80136
14,64345
15,45894
16,60576
17,66904
18,56232
19,53396
20,53739
21,67139
22,68791
23,72621
24,83480
25,77816
26,67924
27,53249
28,61163
29,71263
30,52645
31,43301
32,65922
33,70413
34,63823
35,51879
36,54004
37,60459
38,64524
39,44547
40,67970
41,81089
42,65893
43,45937
44,54148
45,59903
46,53464
47,46546
48,81757
49,73917
50,63283
51,45332
52,60392
53,62140
54,65593
55,59930
56,141575
57,121581
58,101627
59,81630
60,61881
61,41893
62,68074
63,57829
64,62441
65,80010
66,60178
67,41332
68,82563
69,79374
70,59388
71,54194
72,56511
73,80946
74,61585
75,55320
76,82777
77,62791
78,48995
79,74575
80,54589
81,60057
82,50989
83,75055
84,55064
85,64453
86,59473
87,60383
88,84076
89,79393
90,61310
91,51461
92,81853
93,75710
94,59550
95,39556
96,58987
97,71973
98,56901
99,37693
100,81878
101,68931
102,53268
103,43091
104,82767
105,66416
106,56205
107,51412
108,55792
109,74345
110,62756
111,45325
112,82126
113,79685
114,59691
115,48653
116,53127
117,66824
118,65657
119,57607
120,84745
121,72333
122,63504
123,58002
124,56887
125,80874
126,64511
127,44523
128,60992
129,67596
130,51775
131,39407
132,58927
133,73914
134,55497
135,41130
136,58883
137,82450
138,62855
139,47458
140,59233
141,79785
142,59806
143,52525
144,55000
145,67729
146,60889
147,41584
148,83044
149,72072
150,52323
151,49918
152,52957
153,79879
154,59890
155,48913
156,81937
157,64719
158,58725
159,53416
160,61064
161,65620
162,56958
163,41938
164,58804
165,48392
166,63987
167,52225
168,50248
169,47239
170,65808
171,55052
172,46086
173,57109
174,53888
175,65645
176,61875
177,53383
178,51700
179,58714
180,55396
181,48479
182,59798
183,46881
184,65602
185,50231
186,51794
187,49191
188,51940
189,57786
190,51497
191,47100
192,65489
193,61747
194,52486
195,48977
196,59890
197,47957
198,52765
199,46869
200,46374
201,47256
202,46891
203,58781
204,54656
205,60982
206,57996
207,57790
208,62417
209,42437
210,58728
211,46656
212,72663
213,52675
214,45582
215,58348
216,48314
217,57434
218,57700
219,58742
220,67890
221,48939
222,55030
223,56827
224,48091
225,48202
226,54254
227,65041
228,60858
229,46967
230,59834
231,50842
232,65034
233,53430
234,62672
235,48988
236,49143
237,46918
238,64653
239,58978
240,46287
241,64515
242,48106
243,57644
244,56600
245,58744
246,55590
247,52923
248,48819
249,56301
250,66062
251,64588
252,44607
253,54433
254,57352
255,65796
256,55876
257,54624
258,80971
259,61587
260,49094
261,58841
262,47095
263,63829
264,55963
265,40964
266,59718
267,53973
268,47723
269,48036
270,47964
271,57785
272,57573
273,65464
274,61878
275,57348
276,63963
277,59855
278,53713
279,64654
280,65527
281,56009
282,49870
283,50078
284,58724
285,60617
286,55010
287,55838
288,73049
289,57236
290,56522
291,58647
292,52650
293,47012
294,58599
295,54142
296,48705
297,52521
298,48997
299,62411
300,55276
301,47238
302,64655
303,57810
304,46874
305,59809
306,54885
307,49393
308,48014
309,57140
310,76928
311,62633
312,57101
313,53146
314,54395
315,47900
316,63995
317,53010
318,47616
319,49212
320,48265
321,57937
322,65596
323,52323
324,56439
325,65344
326,49355
327,50403
328,49105
329,58891
330,65502
331,52955
332,51365
333,55392
334,48059
335,47036
336,56742
337,65462
338,61395
339,48476
340,50031
341,58888
342,57245
343,56760
344,57046
345,72716
346,63573
347,43583
348,58819
349,56958
350,51218
351,57291
352,47070
353,45105
354,48650
355,47040
356,60175
357,61464
358,45916
359,65480
360,65783
361,50504
362,59615
363,53693
364,58598
365,50279
366,49712
367,49083
368,50122
369,48450
370,59034
371,49758
372,58054
373,58647
374,48035
375,59342
376,56401
377,65565
378,62363
379,60100
380,52098
381,57402
382,58562
383,48229
384,58228
385,65474
386,51200
387,50181
388,48267
389,64754
390,48297
391,77529
392,57583
393,42945
394,74537
395,54548
396,64682
397,55895
398,46794
399,59127
