seq,rtt_us
0,
1,52816
2,
3,54104
4,
5,
6,59855
7,
8,
9,51819
10,57024
11,
12,
13,66008
14,74387
15,
16,
17,58557
18,
19,67229
20,
21,
22,65380
23,
24,61730
25,
26,
27,58645
28,74338
29,
30,
31,70602
32,
33,
34,65531
35,
36,
37,75531
38,
39,63420
40,
41,66383
42,
43,
44,62284
45,
46,
47,59043
48,
49,64334
50,
51,
52,70745
53,
54,
55,61020
56,64035
57,
58,
59,
60,55798
61,
62,60189
63,
64,
65,
66,51565
67,
68,48927
69,
70,
71,53504
72,
73,
74,54194
75,
76,
77,46421
78,53066
79,
80,61201
81,66808
82,
83,
84,
85,
86,
87,
88,65365
89,
90,62519
91,
92,
93,58765
94,62572
95,
96,
97,68522
98,
99,
100,
101,52076
102,
103,
104,61110
105,
106,
107,46141
108,
109,
110,42315
111,
112,51232
113,
114,
115,57392
116,
117,
118,
119,
120,
121,55079
122,
123,
124,52197
125,
126,
127,
128,55191
129,
130,52133
131,
132,
133,
134,
135,
136,
137,
138,51187
139,
140,52471
141,
142,
143,58710
144,
145,51923
146,
147,
148,52021
149,
150,
151,46855
152,62185
153,
154,
155,52171
156,
157,54435
158,
159,
160,58255
161,
162,
163,46054
164,
165,
166,58082
167,57433
168,
169,59084
170,
171,58714
172,
173,
174,55504
175,
176,
177,54308
178,
179,
180,55706
181,
182,51981
183,
184,
185,48750
186,
187,
188,48201
189,
190,46345
191,
192,
193,45357
194,
195,50181
196,
197,
198,46596
199,
200,53323
201,57780
202,
203,
204,
205,52011
206,
207,52416
208,
209,
210,
211,45302
212,58855
213,
214,
215,53380
216,58530
217,
218,
219,55363
220,
221,
222,51804
223,
224,
225,55002
226,
227,52324
228,
229,54136
230,
231,
232,56348
233,
234,52235
235,
236,
237,54949
238,61098
239,
240,
241,
242,58692
243,
244,55257
245,
246,
247,61038
248,
249,54996
250,63442
251,
252,
253,61778
254,
255,
256,53184
257,
258,
259,50665
260,
261,
262,
263,64503
264,
265,
266,58719
267,
268,
269,
270,61769
271,
272,
273,65245
274,
275,59406
276,
277,
278,
279,58614
280,
281,
282,53297
283,68020
284,
285,
286,58596
287,
288,
289,55257
290,
291,59882
292,
293,60391
294,
295,
296,57291
297,
298,60102
299,
300,
301,59441
302,
303,61204
304,
305,
306,57428
307,
308,68358
309,
310,
311,65489
312,
313,71956
314,
315,
316,63011
317,
318,65403
319,
320,
321,64139
322,78051
323,
324,79306
325,86738
326,
327,
328,82400
329,
330,82807
331,
332,
333,86388
334,
335,83210
336,
337,
338,79276
339,
340,
341,85220
342,
343,115266
344,
345,101954
346,
347,105984
348,99853
349,
350,103898
351,
352,
353,
354,
355,100911
356,
357,124036
358,117376
