seq,rtt_us
0,165520
1,115021
2,172666
3,126328
4,73315
5,162372
6,114455
7,58459
8,58503
9,48483
10,63981
11,170828
12,125370
13,58374
14,57418
15,59401
16,53974
17,149457
18,49465
19,156452
20,56465
21,159189
22,59214
23,66210
24,58496
25,155403
26,56649
27,58429
28,63277
29,52798
30,53691
31,47114
32,47816
33,161666
34,108728
35,162134
36,112935
37,66408
38,47851
39,64433
40,58542
41,55108
42,65437
43,59741
44,164464
45,106823
46,48644
47,157232
48,57256
49,49844
50,157155
51,61599
52,164103
53,106861
54,56411
55,57284
56,166617
57,75370
58,48703
59,139948
60,48397
61,58511
62,56639
63,157301
64,58702
65,48979
66,148483
67,48526
68,58690
69,163305
70,122562
71,65416
72,66412
73,58404
74,64054
75,160796
76,116252
77,59640
78,59931
79,59437
80,165103
81,112216
82,58486
83,57439
84,158967
85,60285
86,56543
87,264826
88,164842
89,267399
90,167434
91,105538
92,165025
93,137900
94,55541
95,184195
96,84214
97,173249
98,134813
99,58765
