seq,rtt_us
0,9058
1,8706
2,8150
3,7938
4,7645
5,7250
6,7200
7,6843
8,16353
9,6045
10,5767
11,5622
12,15199
13,14771
14,14527
15,14445
16,14411
17,13650
18,13233
19,13019
20,12623
21,12219
22,11926
23,11579
24,11372
25,11194
26,10808
27,10622
28,10150
29,9860
30,9705
31,9201
32,8914
33,8675
34,8285
35,7884
36,7752
37,7297
38,6942
39,6878
40,6562
41,6160
42,5824
43,5746
44,15099
45,14826
46,14557
47,14199
48,13761
49,13602
50,13162
51,12959
52,12744
53,12295
54,11850
55,11660
56,11418
57,11160
58,10879
59,10460
60,10233
61,9811
62,9627
63,9098
64,8892
65,8651
66,8277
67,7994
68,7696
69,7298
70,7083
71,6849
72,6546
73,6279
74,5953
75,5775
76,15085
77,14794
78,14458
79,14240
80,13755
81,13657
82,13217
83,12895
84,12717
85,12219
86,11956
87,11765
88,11285
89,11094
90,10781
91,10582
92,10180
93,9822
94,9823
95,9082
96,8961
97,8562
98,8322
99,7796
100,7673
101,7245
102,7062
103,6762
104,6696
105,6125
106,5852
107,5804
108,15058
109,14722
110,14451
111,14150
112,13839
113,13839
114,13209
115,12968
116,12673
117,12262
118,11975
119,11672
120,11326
121,11031
122,10768
123,10438
124,10120
125,9814
126,9747
127,9229
128,9030
129,8749
130,8283
131,7972
132,7651
133,7288
134,7065
135,6762
136,6455
137,6224
138,5933
139,5740
140,15077
141,14880
142,14459
143,14277
144,13837
145,13699
146,13246
147,12934
148,12622
149,12260
150,11995
151,11705
152,11218
153,11218
154,10846
155,10493
156,10129
157,9781
158,9774
159,9269
160,8844
161,8638
162,8353
163,7945
164,7795
165,7315
166,6992
167,6803
168,6717
169,6276
170,5871
171,5727
172,15053
173,14696
174,14479
175,14155
176,13763
177,13673
178,13137
179,12985
180,12732
181,12250
182,12028
183,11755
184,11339
185,10916
186,10825
187,10395
188,10125
189,9832
190,9654
191,9107
192,8892
193,8650
194,8292
195,7917
196,7604
197,7325
198,7154
199,6994
200,6535
201,6228
202,5814
203,5596
204,15030
205,14815
206,14450
207,14266
208,13864
209,13652
210,13206
211,12960
212,12800
213,12322
214,11926
215,11616
216,11391
217,11079
218,10832
219,10439
220,10111
221,9793
222,9935
223,9241
224,9018
225,8692
226,8385
227,7910
228,7697
229,7287
230,6986
231,6748
232,6501
233,6099
234,5750
235,5665
236,15075
237,14864
238,14455
