seq,rtt_us
0,5602
1,5284
2,4951
3,14591
4,14300
5,13946
6,13693
7,13337
8,12942
9,12779
10,12501
11,11995
12,11819
13,11626
14,11153
15,10986
16,10592
17,10256
18,9890
19,9671
20,9219
21,9047
22,8732
23,8503
24,8072
25,7865
26,7645
27,7095
28,6997
29,6626
30,6208
31,5883
32,5611
33,5600
34,5017
35,14670
36,14330
37,13790
38,13878
39,13516
40,13016
41,12886
42,12445
43,11938
44,11752
45,11648
46,11203
47,11066
48,10678
49,10294
50,9974
51,9608
52,9022
53,9031
54,9075
55,8537
56,8204
57,7675
58,7594
59,7056
60,6925
61,6522
62,6242
63,5901
64,5586
65,5180
66,5030
67,4886
68,14322
69,13903
70,13583
71,13212
72,13001
73,12665
74,12436
75,11925
76,11680
77,11556
78,11149
79,10986
80,10629
81,10220
82,9940
83,9630
84,9244
85,8987
86,8685
87,8475
88,8477
89,7659
90,7501
91,7094
92,6917
93,6733
94,6168
95,5864
96,5539
97,5315
98,5035
99,4899
100,14230
101,14011
102,13706
103,13192
104,12878
105,12697
106,12500
107,12107
108,11667
109,11493
110,11124
111,11176
112,10719
113,10185
114,9754
115,9526
116,9417
117,9000
118,8640
119,8419
120,7904
121,7721
122,7841
123,7175
124,6955
125,6799
126,6191
127,5873
128,5934
129,5175
130,5003
131,4696
132,14291
133,14112
134,13630
135,13376
136,13008
137,12814
138,12408
139,12004
140,11656
141,11505
142,11087
143,10969
144,10833
145,10140
146,9845
147,9534
148,9388
149,8978
150,8842
151,8389
152,8000
153,7703
154,7612
155,7076
156,6944
157,6778
158,6328
159,6026
160,5649
161,5281
162,4979
163,4759
164,14301
165,13962
166,13605
167,13360
168,12990
169,12778
170,12399
171,12148
172,11614
173,11525
174,11120
175,10945
176,10526
177,10125
178,9803
179,9571
180,9215
181,8996
182,8783
183,8423
184,8020
185,7657
186,7513
187,7109
188,6933
189,6689
190,6132
191,5805
192,5544
193,5295
194,5087
195,4729
196,14312
197,13930
198,13652
199,13284
200,12932
201,12730
202,12419
203,11945
204,11701
205,11517
206,11057
207,10989
208,10634
209,10184
210,9792
211,9648
212,9249
213,8992
214,8713
215,8439
216,7996
217,7727
218,7571
219,7165
220,7074
221,6683
222,6190
223,5840
224,5624
225,5255
226,4935
227,4691
228,14227
229,13799
230,13612
231,13252
232,13061
233,12784
234,12375
235,11969
236,11780
237,11556
238,11084
239,10944
240,10557
241,10177
242,9805
243,9596
244,19171
245,8912
246,8663
247,8428
248,8063
249,7829
250,7597
251,7084
252,7121
253,6525
254,6181
255,5910
256,5651
257,5212
258,4924
259,4664
260,14174
261,13906
262,13717
263,13336
264,12973
265,12728
266,12359
267,11975
268,11653
269,11698
270,11199
271,11005
272,10633
273,10218
274,9934
275,9661
276,9274
277,9235
278,8741
279,8447
280,7979
281,7765
282,7519
283,7080
284,8945
285,6635
286,6209
287,7419
288,5601
289,5583
290,5023
291,4726
292,14238
293,13824
294,13624
295,13254
296,13076
297,12780
298,12443
299,12030
300,11865
301,11719
302,11250
303,11053
304,10586
305,10183
306,9749
307,9555
308,9218
309,8938
310,8720
311,8468
312,7978
313,7696
314,7684
315,7089
316,7042
317,6505
318,6354
319,5741
320,5541
321,5279
322,4965
323,4679
324,14250
325,13916
326,13632
327,13196
328,12957
329,12809
330,12499
331,12140
332,11616
333,11548
334,11103
335,10953
336,10645
337,10294
338,9820
339,9774
340,9377
341,8950
342,8689
343,8453
