seq,rtt_us
0,10896
1,10770
2,10390
3,20490
4,19664
5,19522
6,19041
7,18975
8,18735
9,18361
10,18047
11,17615
12,17534
13,18955
14,17178
15,16477
16,16535
17,16768
18,15288
19,15045
20,14508
21,14419
22,14272
23,14012
24,13449
25,13193
26,13124
27,13152
28,12116
29,11741
30,11486
31,11128
32,10886
33,10805
34,10399
35,9813
36,19929
37,19512
38,19136
39,18906
40,18695
41,17978
42,17845
43,17548
44,18455
45,16952
46,16911
47,16450
48,16058
49,15861
50,15463
51,15352
52,14888
53,14550
54,14055
55,13908
56,13569
57,13210
58,13010
59,12687
60,12567
61,11718
62,11553
63,11838
64,10866
65,10543
66,10152
67,9915
68,19805
69,19744
70,18897
71,18895
72,18563
73,18120
74,17805
75,17577
76,17230
77,17385
78,17004
79,16640
80,16086
81,15686
82,15515
83,15238
84,15000
85,14681
86,14153
87,14038
88,13637
89,13384
90,13242
91,12489
92,12117
93,11724
94,11488
95,11185
96,10865
97,10786
98,10481
99,9807
100,19608
101,19278
102,19235
103,18784
104,18624
105,18241
106,17900
107,17554
108,16951
109,17723
110,16940
111,16754
112,16093
113,15833
114,15747
115,15200
116,15496
117,14862
118,14111
119,13634
120,13651
121,13219
122,13098
123,13322
124,12388
125,12144
126,11824
127,11072
128,11244
129,10456
130,10343
131,9820
132,19722
133,19562
134,19371
135,18990
136,18978
137,17889
138,17727
139,17765
140,17838
141,16918
142,16584
143,16085
144,15695
145,15999
146,15350
147,15271
148,14791
149,14677
150,15129
151,14006
152,13582
153,13265
154,13223
155,12675
156,12365
157,11843
158,11434
159,11096
160,10890
161,10594
162,10327
163,9896
164,19655
165,19281
166,19307
167,18779
168,18975
169,17892
170,17551
171,17651
172,17348
173,17221
174,16715
175,17118
176,16202
177,15861
178,15445
179,15253
180,14708
181,15105
182,14302
183,13874
184,13872
185,13485
186,13056
187,12804
188,12237
189,11853
190,11875
191,11397
192,10901
193,10591
194,10693
195,10187
196,19956
197,19327
198,19433
199,18481
200,18657
201,18290
202,18007
203,17937
204,17298
205,17053
206,16805
207,16318
208,16126
209,15855
210,15561
211,15011
212,14774
213,14958
214,14098
215,13846
216,13440
217,13194
218,13235
219,12650
220,12728
221,11796
222,11622
223,11234
224,11183
225,10706
226,10560
227,9821
228,19949
229,19363
230,19210
231,18813
232,18999
233,18163
234,17913
235,17970
236,17287
237,17058
238,17022
239,16500
240,16011
241,25755
242,15559
243,15252
244,14596
245,14929
246,14442
247,13857
248,13784
249,13180
250,13076
251,12631
252,12588
253,11986
254,11648
255,11085
256,10815
257,10554
258,10733
259,9847
260,19977
261,19284
262,19162
263,18839
264,18870
265,18108
266,18515
267,17665
268,17031
269,17161
270,16958
271,16167
272,16034
273,15830
274,15405
275,15356
276,15306
277,14936
278,14970
279,13940
280,13746
281,13597
282,12912
283,12918
284,12380
285,12108
286,12006
287,11181
288,10871
289,10526
290,10598
291,10004
292,19862
293,19494
294,19275
295,19086
296,18592
297,18119
298,18127
299,17805
300,17222
301,17180
302,16775
303,16599
304,16001
305,15787
306,15371
307,15291
308,14945
309,14928
310,14160
311,13980
312,13936
313,13315
314,13159
315,12783
316,12285
317,11750
318,11469
319,11091
320,10826
321,10558
322,10536
323,10021
324,19702
325,19674
326,19157
327,18750
328,18539
329,18029
330,17879
331,17741
332,17465
333,16942
334,16774
335,16426
336,15962
337,15917
338,15040
339,14965
340,14734
341,14498
342,13956
343,13749
344,13744
345,13693
346,13047
347,12705
348,12395
349,11938
350,11843
351,11205
352,10728
353,10770
354,10397
355,9864
356,19778
357,19034
358,19086
359,18922
360,18583
361,17965
362,17659
363,17456
364,17009
365,16964
366,16412
367,16169
368,15661
369,15646
370,15041
371,14920
372,14779
373,14370
374,14112
375,13962
376,13746
377,13259
378,12986
379,12957
380,12117
381,11833
382,11573
383,11050
384,10871
385,10744
386,10280
387,10086
388,19748
389,19251
390,19273
391,18727
392,18532
393,18350
394,17756
395,17579
396,17446
397,16962
398,16893
399,16471
400,15919
401,15960
402,15344
403,15234
404,14702
405,14761
406,14098
407,13591
408,13659
409,13287
410,13374
411,12885
412,12403
413,11973
414,11950
415,11211
416,10901
417,10742
418,10404
419,9885
420,19990
421,19388
422,19438
423,18688
424,18848
425,18167
426,17934
427,17906
428,17217
429,17069
430,16739
431,16292
432,15910
433,15911
434,15353
435,15140
436,14978
437,14723
438,14213
439,13900
440,13968
441,14150
442,13087
443,12777
444,12055
445,12207
446,11714
447,11164
448,10904
449,10698
450,10653
451,9980
452,19775
453,19477
454,19192
455,18626
456,18707
457,18217
458,27848
459,17846
460,17240
461,17108
462,16847
463,16518
464,16069
465,15937
466,15409
467,15160
468,14972
469,14700
470,14316
471,14088
472,13867
473,13383
474,13336
475,14044
476,13134
477,12647
478,11778
479,11074
480,11665
481,10644
482,10286
483,9902
484,19564
485,19503
486,19411
487,18894
488,18718
489,18263
490,18654
491,17622
492,17176
493,17014
494,16549
495,16832
496,16112
497,15787
498,15407
499,15227
500,14911
501,14617
502,14254
503,15481
504,13520
505,13062
506,12721
507,13048
508,12243
509,11758
510,11785
511,12523
512,10948
513,10759
514,10423
515,9935
516,19721
517,19387
518,19244
519,18672
520,18843
521,17939
522,17848
523,17824
524,17312
525,17128
526,16942
527,16508
528,16361
529,16074
530,15591
531,15313
532,14906
533,14646
534,13901
535,13774
536,13749
537,13009
538,12972
539,12762
540,12110
541,11887
542,11542
543,11584
544,10824
545,10728
546,10330
547,9823
548,19881
549,19508
550,19166
551,19076
552,18396
553,17900
554,17958
555,17667
556,17253
557,16901
558,16692
559,16502
560,16086
561,15718
562,15352
563,15418
564,14532
565,14390
566,14405
567,13853
568,14056
569,13001
570,12817
571,12747
572,12141
573,12122
574,11603
575,11099
576,10842
577,10783
578,10229
579,9853
580,19910
581,19288
582,19182
583,18840
584,18448
585,18453
586,17956
587,17764
588,17388
589,17109
590,17803
591,16325
592,15963
593,15675
594,15126
595,15077
596,14840
597,14804
598,14402
599,13856
600,14043
601,13236
602,12931
603,12729
604,12380
605,12186
606,11657
607,11165
608,12668
609,10665
610,10698
611,9964
612,19553
613,19124
614,18875
615,18654
616,18674
617,18688
618,18255
619,18508
620,17664
621,17171
622,16894
623,16194
624,16385
625,15995
626,15226
627,15516
628,15023
629,14959
630,14274
631,14084
632,13933
633,13555
634,12838
635,12524
636,12839
637,11874
638,11575
639,11088
640,11080
641,10647
642,10649
643,10007
644,9699
645,19686
646,19450
647,19429
648,19101
649,18427
650,18038
651,17656
652,17359
653,17206
654,17103
655,16730
656,16205
657,15954
658,15508
659,15309
660,15040
661,15109
662,13847
663,13737
664,13945
665,13367
666,13243
667,12707
668,12490
669,11855
670,11930
671,11052
672,10862
673,10760
674,10615
675,10108
676,19756
677,19474
678,19112
679,18821
680,18924
681,17915
682,17801
683,17760
684,17275
685,17063
686,16783
687,16490
688,15956
689,16211
690,15270
691,15235
692,15029
693,14893
694,14179
695,14164
696,13870
697,13645
698,13224
699,13223
700,12592
701,12146
702,11796
703,11544
704,11379
705,10759
706,10403
707,9921
708,20013
709,19583
710,19066
711,19294
712,18425
713,18220
714,18114
715,19526
716,17105
717,17108
718,16682
719,16212
720,15805
721,15808
722,15363
723,15136
724,14966
725,14855
726,14229
727,14195
728,13848
729,13415
730,13205
731,12908
732,12790
733,11986
734,11624
735,11222
736,11174
737,10824
738,10414
739,9858
740,20036
741,19460
742,19692
743,19127
744,18930
745,18649
746,18231
747,17875
748,17535
749,17094
750,16887
751,17367
752,16350
753,16107
754,15285
755,15046
756,15177
757,15780
758,14194
759,14207
760,13515
761,13179
762,13129
763,13940
764,13903
765,11807
766,11640
767,11129
768,11697
769,11475
770,10382
771,9917
772,9720
773,19291
774,19568
775,19815
776,18609
777,17927
778,17690
779,17757
780,16986
781,16742
782,16961
783,16378
784,16064
785,16114
786,35513
787,15522
788,15254
789,14771
790,14154
791,14005
792,13724
793,13377
794,13365
795,12662
796,12597
797,11819
798,11673
799,11104
800,10865
801,10767
802,10826
803,9867
804,9581
805,19394
806,19320
807,19315
808,18772
809,18332
810,18005
811,17701
812,17351
813,16960
814,16908
815,16424
816,16192
817,16028
818,15486
819,15184
820,15177
821,14662
822,13925
823,13890
824,13673
825,13317
826,13284
827,12837
828,12514
829,11815
830,12100
831,11208
832,10917
833,10738
834,10296
835,9823
836,19913
837,19332
838,19135
839,19005
840,18670
841,18210
842,17909
843,18010
844,17664
845,16962
846,16591
847,16455
848,16221
849,15931
850,15280
851,15163
852,14680
853,14726
854,14211
855,13865
856,13782
857,13568
858,12929
859,12963
860,12259
861,11950
862,11964
863,11324
864,11152
865,10871
866,10476
867,10005
868,9874
869,19818
870,19556
871,19196
872,18830
873,18050
874,18371
875,17923
876,17784
877,17345
878,16691
879,16298
880,16310
881,15923
882,16597
883,17167
884,16053
885,14463
886,15065
887,13680
888,13463
889,13141
890,13073
891,12866
892,12243
893,12224
894,11744
895,11440
896,10958
897,10713
898,10566
899,9909
900,20449
901,19832
902,18973
903,19021
904,18778
905,18411
906,17965
907,17825
908,17188
909,17219
910,16942
911,16629
912,16088
913,16054
914,15555
915,15566
916,14865
917,14430
918,14171
919,14109
920,13674
921,13241
922,12943
923,12870
924,12508
925,12045
926,11892
927,11215
928,10941
929,10890
930,10370
931,9917
932,9782
933,19519
934,19266
935,19086
936,18479
937,18182
938,18170
939,17708
940,17672
941,17019
942,17032
943,16296
944,16109
945,16066
946,15501
947,15333
948,15008
949,14621
950,14271
951,14016
952,13604
953,13450
954,13062
955,12581
956,12268
957,12183
958,11783
959,11100
960,10946
961,10746
962,10329
963,9935
964,9738
965,19327
966,19294
967,19017
968,18784
969,18081
970,18044
971,17886
972,17391
973,17174
974,16755
975,16387
976,16075
977,15959
978,15341
979,15175
980,14984
981,14743
982,14137
983,13827
984,13657
985,13599
986,13070
987,12893
988,12199
989,11816
990,11900
991,11183
992,10913
993,10623
994,10412
995,10195
