seq,rtt_us
0,14126
1,13588
2,14422
3,14006
4,12516
5,12174
6,11740
7,11508
8,11329
9,11163
10,20694
11,20594
12,20483
13,19662
14,19798
15,20701
16,18389
17,18552
18,18436
19,17901
20,18036
21,17327
22,17220
23,16721
24,16628
25,15787
26,15858
27,15603
28,15527
29,14761
30,14453
31,14441
32,13860
33,13861
34,13507
35,12850
36,12544
37,12157
38,11808
39,11429
40,11215
41,10864
42,20965
43,20219
44,19702
45,19672
46,19749
47,19251
48,18849
49,18587
50,19149
51,17638
52,17901
53,17583
54,17156
55,16721
56,16836
57,16161
58,16715
59,15774
60,15419
61,14889
62,14480
63,14614
64,13773
65,13983
66,13100
67,12713
68,12522
69,12136
70,12128
71,11568
72,11277
73,10996
74,20234
75,20444
76,20842
77,23863
78,37468
79,34748
80,22583
81,20576
82,18756
83,17772
84,17469
85,17100
86,28542
87,18374
88,16579
89,16214
90,16384
91,15596
92,15202
93,14941
94,14415
95,14683
96,14226
97,13544
98,13609
99,12939
100,12563
101,12134
102,11832
103,11448
104,11178
105,10952
106,20592
107,22096
108,19817
109,19759
110,19370
111,18954
112,18554
113,19047
114,18432
115,17949
116,17927
117,17381
118,17125
119,16562
120,16390
121,15720
122,16707
123,15385
124,15277
125,14849
126,14632
127,14094
128,13815
129,13819
130,13089
131,12784
132,12356
133,12038
134,11855
135,11554
136,11306
137,10917
138,20571
139,20455
140,20471
141,19556
142,19519
143,19199
144,18735
145,18854
146,18746
147,17686
148,17573
149,17569
150,17210
151,16841
152,17036
153,17038
154,16039
155,15574
156,15317
157,14892
158,13843
159,13183
160,13987
161,12413
162,18871
163,20233
164,18852
165,20432
166,12765
167,19422
168,20542
169,18247
170,16880
171,15179
172,13331
173,13028
174,12907
175,12411
176,12193
177,12938
178,11703
179,11855
180,20873
181,22829
182,20555
183,21289
184,20115
185,21841
186,18789
187,18528
188,18319
189,18237
190,17835
191,17542
192,17143
193,17017
194,16191
195,16358
196,15964
197,16033
198,15069
199,15195
200,14714
201,14512
202,14247
203,14007
204,13219
205,13236
206,12695
207,12563
208,12020
209,11582
210,11309
211,11308
212,20507
213,20509
214,20375
215,19582
216,19582
217,19410
218,19316
219,18865
220,18969
221,17922
222,18385
223,15804
224,12425
225,11971
226,11709
227,11142
228,20741
229,20739
230,20299
231,20230
232,19990
233,19545
234,19048
235,19210
236,18932
237,18464
238,17849
239,17832
240,17112
241,16832
242,16342
243,16085
244,15857
245,16161
246,15429
247,14890
248,14954
249,15051
250,14290
251,13957
252,13706
253,13336
254,12593
255,12391
256,12119
257,11586
258,11673
259,11149
260,20816
261,20618
262,20276
263,19450
264,20413
265,19696
266,19163
267,19319
268,19141
269,18723
270,17600
271,19087
272,17329
273,18677
274,16393
275,16010
276,16175
277,15952
278,15488
279,15154
280,15085
281,14974
282,14344
283,13986
284,14009
285,13170
286,12552
287,12298
288,11785
289,11737
290,11822
291,11223
292,21053
293,20544
294,20396
295,20045
296,20377
297,19298
298,18110
299,18885
300,18920
301,18161
302,17920
303,17400
304,17116
305,16841
306,16573
307,16281
308,15851
309,16080
310,15914
311,14811
312,14723
313,14971
314,14231
315,14032
316,13642
317,12880
318,12393
319,12258
320,13646
321,11762
322,11548
323,11246
324,20322
325,20574
326,20349
327,20465
328,20060
329,19480
330,19165
331,19188
332,18475
333,18135
334,17782
335,17610
336,17324
337,16947
338,16404
339,16301
340,16019
341,15726
342,15389
343,14957
344,15043
345,14961
346,14263
347,13994
348,13751
349,12991
350,12444
351,13250
352,12192
353,11601
354,11715
355,11145
356,20952
357,20628
358,20366
359,19957
360,20311
361,19565
362,19001
363,19333
364,18975
365,18151
366,17457
367,17588
368,17130
369,17000
370,16606
371,16468
372,15913
373,16083
374,15598
375,15096
376,15100
377,14875
378,15746
379,14114
380,13436
381,12925
382,13317
383,12518
384,11984
385,11687
386,11706
387,11264
388,20876
389,20680
390,19974
391,20222
392,20019
393,19142
394,18817
395,19175
396,18903
397,18172
398,17969
399,17811
400,17025
401,18012
402,17095
403,15984
404,15796
405,16352
406,15299
407,17246
408,14822
409,14613
410,13904
411,13596
412,14073
413,12776
414,13780
415,13957
416,12097
417,11714
418,11994
419,11150
420,20963
421,20962
422,20540
423,19717
424,20002
425,19196
426,19472
427,19411
428,19174
429,18451
430,18119
431,17726
432,17312
433,17129
434,16889
435,16603
436,16339
437,16761
438,15908
439,15013
440,15071
441,14896
442,13997
443,13708
444,13641
445,12952
446,12593
447,12562
448,11962
449,11733
450,11608
451,11356
452,20565
453,20543
454,20403
455,20243
456,20045
457,19620
458,19322
459,19076
460,18844
461,18117
462,18017
463,17446
464,17344
465,17780
466,16359
467,16069
468,15766
469,15638
470,15593
471,15101
472,15140
473,14781
474,15039
475,13582
476,13510
477,12765
478,12398
479,12417
480,11840
481,11604
482,11667
483,11111
484,20948
485,10840
486,20333
487,19914
488,19829
489,20269
490,18656
491,19019
492,19981
493,19148
494,19038
495,17548
496,16884
497,16622
498,16676
499,16361
500,16017
501,16093
502,15184
503,15090
504,15206
505,14839
506,14034
507,13905
508,13624
509,13043
510,12662
511,12276
512,11918
513,11754
514,11554
515,11042
516,20716
517,21677
518,19960
519,20035
520,20335
521,20247
522,18935
523,18861
524,19371
525,18032
526,17707
527,17270
528,16990
529,16766
530,16405
531,16578
532,16081
533,15522
534,15443
535,15116
536,14741
537,14893
538,23511
539,13760
540,13186
541,12690
542,12632
543,12370
544,11823
545,11523
546,11613
547,10964
548,20538
549,20699
550,19976
551,20475
552,19982
553,19563
554,19004
555,19232
556,18828
557,17697
558,17986
559,17580
560,16837
561,16773
562,16483
563,16291
564,15567
565,16024
566,15187
567,14983
568,15039
569,14746
570,13954
571,13800
572,13684
573,12930
574,12421
575,12320
576,11996
577,11708
578,11871
579,11074
580,20626
581,20595
582,20275
583,20064
584,19977
585,19342
586,19097
587,18961
588,18626
589,18031
590,17745
591,17330
592,17354
593,16580
594,16747
595,16250
596,15939
597,15933
598,15261
599,15376
600,15112
601,15034
602,14155
603,13924
604,13302
605,12833
606,12759
607,12422
608,11825
609,11598
610,11613
611,11124
612,10679
613,10737
614,20357
615,19605
616,20239
617,19465
618,19044
619,18846
620,19113
621,18472
622,17472
623,17615
624,16967
625,16898
626,16215
627,16172
628,15857
629,15912
630,15457
631,14866
632,14927
633,14751
634,14154
635,13904
636,13768
637,13015
638,12698
639,12542
640,11847
641,11527
642,11545
643,11156
644,20769
645,20792
646,20289
647,19989
648,20242
649,19436
650,19351
651,19134
652,18132
653,18377
654,18532
655,17403
656,17383
657,16870
658,16737
659,16393
660,16253
661,16273
662,15885
663,14557
664,14719
665,14930
666,14398
667,13802
668,13178
669,13009
670,12410
671,12154
672,11807
673,11504
674,11541
675,11040
676,10547
677,20424
678,20320
679,19987
680,19890
681,19464
682,18944
683,18555
684,18434
685,18172
686,18123
687,17221
688,17079
689,17050
690,16373
691,16225
692,15804
693,16197
694,15466
695,14969
696,14963
697,14522
698,13821
699,13988
700,13336
701,13029
702,12551
703,12166
704,11966
705,11760
706,11531
707,11132
708,20795
709,20532
710,20237
711,19669
712,19999
713,19435
714,19086
715,19034
716,18915
717,17723
718,17786
719,17228
720,16935
721,16608
722,16397
723,15944
724,15830
725,15664
726,15138
727,15066
728,14801
729,12891
730,12539
731,12566
732,11919
733,11779
734,11310
735,10963
736,20596
737,20534
738,19984
739,19947
740,19518
741,19289
742,18805
743,18492
744,18565
745,17901
746,17594
747,17434
748,16923
749,16669
750,16420
751,16114
752,15775
753,15565
754,15323
755,14982
756,14722
757,14370
758,13923
759,13705
760,13157
761,13027
762,12679
763,12934
764,11783
765,11578
766,11328
767,10948
768,20447
769,20454
770,20032
771,19801
772,19680
773,19293
774,18769
775,18239
776,18499
777,18008
778,17833
779,17330
780,17028
781,16580
782,16336
783,16090
784,16047
785,15532
786,15340
787,14815
788,14721
789,15035
790,13964
791,13680
792,13265
793,12679
794,12608
795,12324
796,11825
797,11483
798,11373
799,11307
800,20711
801,20242
802,20552
803,20141
804,19602
805,19159
806,18806
807,18810
808,18740
809,17928
810,17805
811,17313
812,16903
813,16699
814,16405
815,15749
816,15718
817,15749
818,15213
819,14781
820,14763
821,16038
822,14865
823,13588
824,13543
825,12947
826,12651
827,12333
828,11798
829,11619
830,11297
831,11219
832,20678
833,20468
834,20361
835,19696
836,19896
837,19799
838,19002
839,19381
840,18613
841,17919
842,17752
843,17560
844,16816
845,16773
846,16699
847,15743
848,15917
849,15848
850,15352
851,15164
852,14411
853,14500
854,13754
855,13866
856,13605
857,12822
858,12418
859,12221
860,12158
861,11609
862,11351
863,10960
864,20712
865,20526
866,20350
867,19817
868,19683
869,19405
870,18681
871,18568
872,18751
873,17904
874,17426
875,17379
876,17159
877,16662
878,16512
879,16086
880,16793
881,16454
882,15555
883,15139
884,15874
885,14478
886,14788
887,14832
888,13676
889,13741
890,13433
891,12963
892,11759
893,11577
894,11275
895,11197
896,20456
897,20825
898,20700
899,19742
900,19775
901,19244
902,19329
903,18518
904,18541
905,17833
906,17714
907,17550
908,16931
909,16721
910,16386
911,16077
912,16086
913,15303
914,15312
915,14808
916,14945
917,14280
918,13707
919,13905
920,13155
921,13029
922,12478
923,12172
924,12000
925,12176
926,11309
927,10994
928,20905
929,20781
930,20792
931,19874
932,19492
933,19233
934,18869
935,18822
936,18505
937,17849
938,18343
939,17308
940,17156
941,17090
942,16581
943,16443
944,15602
945,15628
946,15210
947,15649
948,14365
949,14433
950,14065
951,13837
952,13525
953,13124
954,12693
955,12251
956,11921
957,11672
958,11512
959,11031
960,20764
961,20534
962,20204
963,19851
964,19551
965,19321
966,18892
967,18966
968,18547
969,18107
970,17769
971,17493
972,17342
973,16606
974,16257
975,16148
976,16047
977,15636
978,15234
979,14828
980,14692
981,14534
982,14065
983,14001
984,23451
985,12726
986,12821
987,12252
988,11877
989,11589
990,11329
991,10964
992,20603
993,20173
994,20256
995,20197
996,19669
997,19284
998,18900
999,18655
1000,18936
1001,18184
1002,17764
1003,17325
1004,16928
1005,16740
1006,19346
1007,16296
1008,15634
1009,15469
1010,15089
1011,14539
1012,14726
1013,14625
1014,13707
1015,14016
1016,13330
1017,13035
1018,12386
1019,12362
1020,11852
1021,11419
1022,11229
1023,10980
1024,20682
1025,20224
1026,20048
1027,19918
1028,19486
1029,19464
1030,18554
1031,18336
1032,18557
1033,17964
1034,18031
1035,17432
1036,17161
1037,16683
1038,16470
1039,16093
1040,15833
1041,15503
1042,15394
1043,14991
1044,14483
1045,14776
1046,13741
1047,13744
1048,13162
1049,12931
1050,12465
1051,12204
1052,11834
1053,11548
1054,11203
1055,11008
1056,20648
1057,20283
1058,20237
1059,19925
1060,19560
1061,19621
1062,18727
1063,18632
1064,18302
1065,18098
1066,17754
1067,17397
1068,17031
1069,16761
1070,16499
1071,16455
1072,15991
1073,15812
1074,15305
1075,14928
1076,14667
1077,14684
1078,13931
1079,13698
1080,13864
1081,12856
1082,12588
1083,12165
1084,11837
1085,11893
1086,11443
1087,10978
1088,20688
1089,20581
1090,20280
1091,19862
1092,19862
1093,19329
1094,18902
1095,18731
1096,18751
1097,17783
1098,17700
1099,17599
1100,17132
1101,16854
1102,16539
1103,16188
1104,15937
1105,15638
1106,15310
1107,14700
1108,14641
1109,14666
1110,14314
1111,13771
1112,13294
1113,13183
1114,12344
1115,12333
1116,13573
1117,11619
1118,11447
1119,10939
1120,20572
1121,20437
1122,20281
1123,20192
1124,19412
1125,19288
1126,18833
1127,18952
1128,19020
1129,18114
1130,17610
1131,17486
1132,17023
1133,16645
1134,16369
1135,16066
1136,15900
1137,15651
1138,15186
1139,14897
1140,14731
1141,14723
1142,13895
1143,13774
1144,13163
1145,13013
1146,12720
1147,12372
1148,11991
1149,11776
1150,11428
1151,11122
1152,20775
1153,20561
1154,20065
1155,20004
1156,19734
1157,19524
1158,19044
1159,18718
1160,18661
1161,18090
1162,17879
1163,17710
1164,17185
1165,17045
1166,16360
1167,16364
1168,16142
1169,15764
1170,15483
1171,15010
1172,14648
1173,14535
1174,13948
1175,13905
1176,13248
1177,13141
1178,12449
1179,12192
1180,11900
1181,11626
1182,11389
1183,11013
1184,20972
1185,20454
1186,20412
1187,20140
1188,19774
1189,19523
1190,18992
1191,18875
1192,18741
1193,18083
1194,17923
1195,17437
1196,17266
1197,17025
1198,16326
1199,16079
1200,16065
1201,15829
1202,15537
1203,14889
1204,14970
1205,14668
1206,14010
1207,14053
1208,13951
1209,12945
1210,12866
1211,12325
1212,11969
1213,11629
1214,11429
1215,11106
1216,20716
1217,20675
1218,20321
1219,20206
1220,19503
1221,19636
1222,20939
1223,18124
1224,18895
1225,18147
1226,18253
1227,17203
1228,17216
1229,16943
1230,16270
1231,16224
1232,16098
1233,15363
1234,15580
1235,14998
1236,14832
1237,14909
1238,14452
1239,13813
1240,13903
1241,13083
1242,12637
1243,12237
1244,11770
1245,11585
1246,11298
1247,11203
1248,10638
1249,20477
1250,20161
1251,19952
1252,19310
1253,19435
1254,19026
1255,18508
1256,18477
1257,17828
1258,17649
1259,17424
1260,16846
1261,16605
1262,16384
1263,16210
1264,15838
1265,15474
1266,15485
1267,14562
1268,15074
1269,14482
1270,13957
1271,13770
1272,13621
1273,32796
1274,12828
1275,12165
1276,11776
1277,11507
1278,11315
1279,11007
1280,10514
1281,20462
1282,20367
1283,20206
1284,19370
1285,19036
1286,19087
1287,18603
1288,18632
1289,18154
1290,17675
1291,17403
1292,17046
1293,16690
1294,16612
1295,16083
1296,16067
1297,15728
1298,18441
1299,14630
1300,14763
1301,15071
1302,13762
1303,13779
1304,13142
1305,13360
1306,12484
1307,12359
1308,12162
1309,11500
1310,11349
1311,11212
1312,10511
1313,20479
1314,19927
1315,19583
1316,19610
1317,19448
1318,18975
1319,18362
1320,18684
1321,17908
1322,17769
1323,17381
1324,17138
1325,17154
1326,16410
1327,16046
1328,15757
